x,y,z
-149,99,-2.9889
-149,98,-2.9889
-149,97,-2.9889
-149,96,-2.9889
-149,95,-2.9889
-149,94,-2.9889
-149,93,-2.9889
-149,92,-2.9889
-149,91,-2.9889
-149,90,-2.9889
-149,89,-2.9889
-149,88,-2.9889
-149,87,-2.9889
-149,86,-2.9889
-149,85,-2.9889
-149,84,-2.9889
-149,83,-2.9889
-149,82,-2.9889
-149,81,-2.9889
-149,80,-2.9845
-149,79,-2.9533
-149,78,-2.9221
-149,77,-2.8909
-149,76,-2.8596
-149,75,-2.8284
-149,74,-2.7972
-149,73,-2.7659
-149,72,-2.7347
-149,71,-2.7035
-149,70,-2.6723
-149,69,-2.641
-149,68,-2.6098
-149,67,-2.5786
-149,66,-2.5473
-149,65,-2.5161
-149,64,-2.4849
-149,63,-2.4537
-149,62,-2.4224
-149,61,-2.3912
-149,60,-2.36
-149,59,-2.3288
-149,58,-2.2975
-149,57,-2.2663
-149,56,-2.2351
-149,55,-2.2038
-149,54,-2.1726
-149,53,-2.1414
-149,52,-2.1102
-149,51,-2.0789
-149,50,-2.0477
-149,49,-2.0165
-149,48,-2.0001
-149,47,-2.0001
-149,46,-2.0001
-149,45,-2.0001
-149,44,-2.0001
-149,43,-1.3032
-149,42,1.0397
-149,41,2.9999
-149,40,2.9999
-149,39,2.9999
-149,38,2.9999
-149,37,2.9999
-149,36,2.9999
-149,35,2.9999
-149,34,2.9999
-149,33,2.9999
-149,32,2.9999
-149,31,2.9999
-149,30,2.9999
-149,29,2.9999
-149,28,2.9999
-149,27,2.9999
-149,26,2.9999
-149,25,2.9999
-149,24,2.9999
-149,23,2.9999
-149,22,2.9999
-149,21,2.9999
-149,20,2.9999
-149,19,2.9999
-149,18,2.9999
-149,17,2.9999
-149,16,2.9999
-149,15,2.9999
-149,14,2.9999
-149,13,2.9999
-149,12,2.9999
-149,11,2.1725
-149,10,0.80819
-149,9,-0.53796
-149,8,-1.8841
-149,7,-2.0001
-149,6,-2.0001
-149,5,-2.0001
-149,4,-2.0001
-149,3,-2.0001
-149,2,-2.0001
-149,1,-2.0001
-149,0,-2.0001
-148,200,-28.924
-148,199,-28.584
-148,198,-28.231
-148,197,-27.878
-148,196,-27.525
-148,195,-27.18
-148,194,-26.841
-148,193,-26.502
-148,192,-26.163
-148,191,-25.805
-148,190,-25.398
-148,189,-24.991
-148,188,-24.6
-148,187,-24.21
-148,186,-23.819
-148,185,-23.428
-148,184,-23.038
-148,183,-22.647
-148,182,-22.256
-148,181,-21.866
-148,180,-21.475
-148,179,-21.061
-148,178,-20.591
-148,177,-20.121
-148,176,-19.529
-148,175,-18.894
